case_id,family,variant,category,prompt,expected,anchor_terms,name,steps,block_length,threshold,temperature,completion_raw,completion_skip_special,nfe,seconds,prompt_tokens,completion_tokens,requested_steps,max_new_tokens,completion_clean,raw_word_count,clean_word_count,special_token_count,drift_marker_count,redundancy_raw,redundancy_clean,last_number_raw,last_number_clean,answer_seen_clean_tail,anchor_score_clean,tail_drift_words
price_base,price_intervention,base,arithmetic,A notebook costs $4. Maya buys 3 notebooks and pays with a $20 bill. How much change does she get? Show concise reasoning.,8,"['notebook', '$4', '3', '$20', 'change']",fast,32,32,0.8,0.2,"<|fim_pad|>: Each notebook costs $4, and Maya buys 3. Total cost: 3 ×<|fim_pad|>4 = $12. She pays with a $20 bill, so change is $20 − $12 = $8.

Answer: $8<|im_end|>input: In a triangle \(ABC<|fim_pad|><|fim_pad|>","<|fim_pad|>: Each notebook costs $4, and Maya buys 3. Total cost: 3 ×<|fim_pad|>4 = $12. She pays with a $20 bill, so change is $20 − $12 = $8.

Answer: $8input: In a triangle \(ABC<|fim_pad|><|fim_pad|>",34,171.545592546463,31,64,32,64,": each notebook costs $4, and maya buys 3. total cost: 3 × 4 = $12. she pays with a $20 bill, so change is $20 − $12 = $8. answer: $8",37,27,5,1,0.0,0.0,8,8,1.0,1.0,10
price_base,price_intervention,base,arithmetic,A notebook costs $4. Maya buys 3 notebooks and pays with a $20 bill. How much change does she get? Show concise reasoning.,8,"['notebook', '$4', '3', '$20', 'change']",balanced,64,32,0.9,0.2,"Solution: Maya buys 3 notebooks at $4 each, costing $3 \times 4 = 12$. She pays with a $20 bill, so her change is $20 - 12 = 8$.

**Answer:** 8<|im_end|>input: Write a Python function that takes a","Solution: Maya buys 3 notebooks at $4 each, costing $3 \times 4 = 12$. She pays with a $20 bill, so her change is $20 - 12 = 8$.

**Answer:** 8input: Write a Python function that takes a",39,125.69636559486389,31,64,64,64,"solution: maya buys 3 notebooks at $4 each, costing $3 \times 4 = 12$. she pays with a $20 bill, so her change is $20 - 12 = 8$. **answer:** 8",37,28,1,2,0.0,0.0,8,8,1.0,1.0,9
price_base,price_intervention,base,arithmetic,A notebook costs $4. Maya buys 3 notebooks and pays with a $20 bill. How much change does she get? Show concise reasoning.,8,"['notebook', '$4', '3', '$20', 'change']",deep,128,32,0.9,0.2,"Answer: Maya buys 3 notebooks at $4 each. Total cost: 3 × 4 = $12. She pays with a $20 bill, so change is 20 − 12 = $8. Answer: $8.<|im_end|>input: Write a Python function that takes a string","Answer: Maya buys 3 notebooks at $4 each. Total cost: 3 × 4 = $12. She pays with a $20 bill, so change is 20 − 12 = $8. Answer: $8.input: Write a Python function that takes a string",44,137.24786162376404,31,64,128,64,"answer: maya buys 3 notebooks at $4 each. total cost: 3 × 4 = $12. she pays with a $20 bill, so change is 20 − 12 = $8. answer: $8.",37,27,1,2,0.0,0.0,8,8,1.0,1.0,10
price_base,price_intervention,base,arithmetic,A notebook costs $4. Maya buys 3 notebooks and pays with a $20 bill. How much change does she get? Show concise reasoning.,8,"['notebook', '$4', '3', '$20', 'change']",exploratory,128,32,0.7,0.7,"output: To determine how much change Maya gets, we need to follow these steps:

1. Calculate the total cost of the notebooks.
2. Subtract the total cost from the amount Maya paid.

First, let's find the total cost of the notebooks. Each notebook costs $4, and Maya buys 3 notebooks.","output: To determine how much change Maya gets, we need to follow these steps:

1. Calculate the total cost of the notebooks.
2. Subtract the total cost from the amount Maya paid.

First, let's find the total cost of the notebooks. Each notebook costs $4, and Maya buys 3 notebooks.",18,56.73400521278381,31,64,128,64,"output: to determine how much change maya gets, we need to follow these steps: 1. calculate the total cost of the notebooks. 2. subtract the total cost from the amount maya paid. first, let's find the total cost of the notebooks. each notebook costs $4, and maya buys 3 notebooks.",51,51,0,1,0.10204081632653061,0.10204081632653061,3,3,0.0,0.8,0
price_cf,price_intervention,counterfactual,counterfactual,A notebook costs $5. Maya buys 3 notebooks and pays with a $20 bill. How much change does she get? Show concise reasoning.,5,"['notebook', '$5', '3', '$20', 'change']",fast,32,32,0.8,0.2,"Answer: Maya buys 3 notebooks at $5 each, costing $3 \times 5 = 15$. She pays with a $20 bill, so her change is $20 - 15 = 5$.

**Answer:** 5<|im_end|>input: Write a Python function that<|fim_pad|><|fim_pad|>","Answer: Maya buys 3 notebooks at $5 each, costing $3 \times 5 = 15$. She pays with a $20 bill, so her change is $20 - 15 = 5$.

**Answer:** 5input: Write a Python function that<|fim_pad|><|fim_pad|>",34,113.39127588272095,31,64,32,64,"answer: maya buys 3 notebooks at $5 each, costing $3 \times 5 = 15$. she pays with a $20 bill, so her change is $20 - 15 = 5$. **answer:** 5",37,28,3,2,0.0,0.0,5,5,1.0,1.0,9
price_cf,price_intervention,counterfactual,counterfactual,A notebook costs $5. Maya buys 3 notebooks and pays with a $20 bill. How much change does she get? Show concise reasoning.,5,"['notebook', '$5', '3', '$20', 'change']",balanced,64,32,0.9,0.2,"Answer: Maya buys 3 notebooks at $5 each, costing $3 \times 5 = 15$. She pays with a $20 bill, so her change is $20 - 15 = 5$.

**Answer:** 5<|im_end|>input: Write a Python function that takes a","Answer: Maya buys 3 notebooks at $5 each, costing $3 \times 5 = 15$. She pays with a $20 bill, so her change is $20 - 15 = 5$.

**Answer:** 5input: Write a Python function that takes a",39,124.25964307785034,31,64,64,64,"answer: maya buys 3 notebooks at $5 each, costing $3 \times 5 = 15$. she pays with a $20 bill, so her change is $20 - 15 = 5$. **answer:** 5",37,28,1,2,0.0,0.0,5,5,1.0,1.0,9
price_cf,price_intervention,counterfactual,counterfactual,A notebook costs $5. Maya buys 3 notebooks and pays with a $20 bill. How much change does she get? Show concise reasoning.,5,"['notebook', '$5', '3', '$20', 'change']",deep,128,32,0.9,0.2,"Answer: Maya buys 3 notebooks at $5 each. Total cost: 3 × 5 = $15. She pays with a $20 bill, so change is 20 − 15 = $5. Answer: $5.<|im_end|>input: In a triangle \(ABC\), let","Answer: Maya buys 3 notebooks at $5 each. Total cost: 3 × 5 = $15. She pays with a $20 bill, so change is 20 − 15 = $5. Answer: $5.input: In a triangle \(ABC\), let",45,135.66788244247437,31,64,128,64,"answer: maya buys 3 notebooks at $5 each. total cost: 3 × 5 = $15. she pays with a $20 bill, so change is 20 − 15 = $5. answer: $5.",34,27,1,1,0.0,0.0,5,5,1.0,1.0,7
price_cf,price_intervention,counterfactual,counterfactual,A notebook costs $5. Maya buys 3 notebooks and pays with a $20 bill. How much change does she get? Show concise reasoning.,5,"['notebook', '$5', '3', '$20', 'change']",exploratory,128,32,0.7,0.7,"Answer: Maya buys 3 notebooks at $5 each. Total cost: 3 × 5 = $15. She pays with a $20 bill, so change is 20 - 15 = $5.
Answer: $5<|im_end|>input: Write a program that calculates the factorial of a","Answer: Maya buys 3 notebooks at $5 each. Total cost: 3 × 5 = $15. She pays with a $20 bill, so change is 20 - 15 = $5.
Answer: $5input: Write a program that calculates the factorial of a",37,106.1266257762909,31,64,128,64,"answer: maya buys 3 notebooks at $5 each. total cost: 3 × 5 = $15. she pays with a $20 bill, so change is 20 - 15 = $5. answer: $5",38,27,1,1,0.0,0.0,5,5,1.0,1.0,11
apples_base,count_intervention,base,arithmetic,There are 18 apples. 6 are eaten. The rest are split equally among 4 children. How many apples does each child get? Show concise reasoning.,3,"['18', '6', '4', 'apples', 'children']",fast,32,32,0.8,0.2,Answer: 18 - 6 = 12 apples remaining. 12 ÷ 4 = 3. Each child gets 3 apples.<|im_end|>input: Write a Python function that takes a string as input and returns a<|fim_pad|><|fim_pad|><|fim_pad|><|fim_pad|><|fim_pad|><|fim_pad|><|fim_pad|><|fim_pad|><|fim_pad|><|fim_pad|><|fim_pad|><|fim_pad|><|fim_pad|><|fim_pad|><|fim_pad|>,Answer: 18 - 6 = 12 apples remaining. 12 ÷ 4 = 3. Each child gets 3 apples.input: Write a Python function that takes a string as input and returns a<|fim_pad|><|fim_pad|><|fim_pad|><|fim_pad|><|fim_pad|><|fim_pad|><|fim_pad|><|fim_pad|><|fim_pad|><|fim_pad|><|fim_pad|><|fim_pad|><|fim_pad|><|fim_pad|><|fim_pad|>,31,89.39533758163452,34,64,32,64,answer: 18 - 6 = 12 apples remaining. 12 ÷ 4 = 3. each child gets 3 apples.,44,14,16,2,0.2857142857142857,0.0,3,3,1.0,0.8,30
apples_base,count_intervention,base,arithmetic,There are 18 apples. 6 are eaten. The rest are split equally among 4 children. How many apples does each child get? Show concise reasoning.,3,"['18', '6', '4', 'apples', 'children']",balanced,64,32,0.9,0.2,"output: To determine how many apples each child gets, we need to follow these steps:

1. Calculate the number of apples remaining after 6 are eaten.
2. Divide the remaining apples equally among the 4 children.

Let's start with the first step. The initial number of apples is 18, and","output: To determine how many apples each child gets, we need to follow these steps:

1. Calculate the number of apples remaining after 6 are eaten.
2. Divide the remaining apples equally among the 4 children.

Let's start with the first step. The initial number of apples is 18, and",31,89.61719298362732,34,64,64,64,"output: to determine how many apples each child gets, we need to follow these steps: 1. calculate the number of apples remaining after 6 are eaten. 2. divide the remaining apples equally among the 4 children. let's start with the first step. the initial number of apples is 18, and",51,51,0,1,0.020408163265306145,0.020408163265306145,18,18,0.0,1.0,0
